"iso_o","Origin","iso_d","Destination","contig","comlang_off","comlang_ethno","colony","comcol","curcol","col45","smctry","dist","distcap","distw","distwces"
"MDG","Madagascar","BEN","Benin",0,1,1,0,1,0,0,0,5678.08,5658.447,5797.292,5793.236
"MWI","Malawi","BEN","Benin",0,0,0,0,0,0,0,0,4134.003,4115.609,4322.257,4314.803
"MLI","Mali","BEN","Benin",0,1,0,0,1,0,0,1,1346.579,1365.893,1227.472,1196.412
"MRT","Mauritania","BEN","Benin",0,0,0,0,1,0,0,1,2394.426,2412.403,2203.279,2167.376
"MUS","Mauritius","BEN","Benin",0,1,1,0,0,0,0,0,6701.087,6680.189,6798.13,6796.721
"MAR","Morocco","BEN","Benin",0,1,1,0,1,0,0,0,3223.293,3220.94,3029.276,3014.88
"MOZ","Mozambique","BEN","Benin",0,0,0,0,0,0,0,0,4850.324,4839.583,4832.023,4821.356
"NAM","Namibia","BEN","Benin",0,0,0,0,0,0,0,0,3594.06,3591.391,3686.4,3663.202
"NER","Niger","BEN","Benin",1,1,1,0,1,0,0,1,795.3542,786.5499,829.765,709.2356
"NGA","Nigeria","BEN","Benin",1,0,0,0,0,0,0,0,105.1806,568.2081,475.8779,289.2411
"RWA","Rwanda","BEN","Benin",0,1,1,0,0,0,0,0,3198.58,3173.38,3255.588,3253.475
"STP","Sao Tome and Principe","BEN","Benin",0,0,0,0,0,0,0,0,832.8973,826.1111,958.2135,932.8604
"SEN","Senegal","BEN","Benin",0,1,1,0,1,0,0,1,2367.096,2389.426,2239.265,2232.448
"SYC","Seychelles","BEN","Benin",0,1,1,0,0,0,0,0,6010.037,5983.119,6064.66,6064.079
"SLE","Sierra Leone","BEN","Benin",0,0,0,0,0,0,0,0,1759.119,1786.635,1655.964,1648.101
"SOM","Somalia","BEN","Benin",0,0,0,0,0,0,0,0,4777.344,4748.734,4752.758,4748.681
"ZAF","South Africa","BEN","Benin",0,0,0,0,0,0,0,0,4793.367,4519.959,4882.199,4867.746
"SDN","Sudan","BEN","Benin",0,0,0,0,0,0,0,0,3429.102,3397.618,3362.363,3323.186
"SWZ","Swaziland","BEN","Benin",0,0,0,0,0,0,0,0,4776.063,4766.217,4934.533,4929.912
"TZA","Tanzania","BEN","Benin",0,0,0,0,0,0,0,0,4342.741,3922.736,4141.046,4108.299
"TGO","Togo","BEN","Benin",1,1,1,0,1,0,0,0,131.6918,162.8375,246.0379,173.3178
"TUN","Tunisia","BEN","Benin",0,1,0,0,1,0,0,0,3476.428,3459.532,3244.227,3228.388
"UGA","Uganda","BEN","Benin",0,0,0,0,0,0,0,0,3406.452,3379.49,3439.068,3435.135
"ZMB","Zambia","BEN","Benin",0,0,0,0,0,0,0,0,3739.363,3724.45,3779.811,3772.026
"ZWE","ZImbabwe","BEN","Benin",0,0,0,0,0,0,0,0,4135.58,4120.818,4255.958,4250.276
"DZA","Algeria","BWA","Botswana",0,0,0,0,0,0,0,0,7263.32,7263.32,7033.861,7027.606
"AGO","Angola","BWA","Botswana",0,0,0,0,0,0,0,0,2223.578,2223.578,2013.847,1975.633
"BEN","Benin","BWA","Botswana",0,0,0,0,0,0,0,0,4295.408,4287.558,4329.824,4319.256
"BWA","Botswana","BWA","Botswana",0,0,0,0,0,0,0,0,291.4366,291.4366,244.9416,67.58401
"BFA","Burkina Faso","BWA","Botswana",0,0,0,0,0,0,0,0,5099.678,5099.678,5019.93,5014.65
"BDI","Burundi","BWA","Botswana",0,0,0,0,0,0,0,0,2407.703,2407.703,2265.744,2250.402
"CMR","Cameroon","BWA","Botswana",0,1,1,0,0,0,0,0,3543.866,3543.866,3640.696,3620.981
"CPV","Cape Verde","BWA","Botswana",0,0,0,0,0,0,0,0,6946.353,6946.353,6986.04,6981.667
"CAF","Central African Republic","BWA","Botswana",0,0,0,0,0,0,0,0,3337.39,3337.39,3271.953,3258.923
"TCD","Chad","BWA","Botswana",0,0,0,0,0,0,0,0,4276.94,4276.94,4007.351,3991.04
"COM","Comoros","BWA","Botswana",0,0,0,0,0,0,0,0,2337.365,2337.365,2260.215,2248.939
"COG","Congo Republic","BWA","Botswana",0,0,0,0,0,0,0,0,2553.88,2553.88,2515.359,2499.996
"CIV","Cote d'ivoire","BWA","Botswana",0,0,0,0,0,0,0,0,4658.542,4876.309,4688.009,4679.094
"DJI","Djibouti","BWA","Botswana",0,0,0,0,0,0,0,0,4457.624,4457.624,4305.766,4298.185
"EGY","Egypt","BWA","Botswana",0,0,1,0,0,0,0,0,6125.714,6125.714,5972.4,5963.372
"GNQ","Equatorial Guinea","BWA","Botswana",0,0,0,0,0,0,0,0,3672.771,3672.771,3424.591,3412.412
"ERI","Eritrea","BWA","Botswana",0,1,1,0,1,0,0,0,4678.079,4678.079,4515.601,4507.951
"ETH","Ethiopia","BWA","Botswana",0,1,0,0,0,0,0,0,4014.64,4014.64,3898.765,3882.884
"GAB","Gabon","BWA","Botswana",0,0,0,0,0,0,0,0,3314.667,3314.667,3131.109,3116.563
"GMB","Gambia","BWA","Botswana",0,1,1,0,1,0,0,0,6280.636,6280.636,6180.201,6176.705
"GHA","Ghana","BWA","Botswana",0,1,1,0,1,0,0,0,4404.97,4404.97,4416.57,4406.921
"GIN","Guinea","BWA","Botswana",0,0,0,0,0,0,0,0,5911.77,5911.77,5617.17,5610.09
"GNB","Guinea-Bissau","BWA","Botswana",0,0,0,0,0,0,0,0,6080.335,6080.335,5996.729,5993.598
"KEN","Kenya","BWA","Botswana",0,1,1,0,1,0,0,0,2863.55,2863.55,2730.989,2715.517
"LSO","Lesotho","BWA","Botswana",0,1,1,0,1,0,0,1,531.4464,531.4464,697.4193,654.9232
"LBR","Liberia","BWA","Botswana",0,1,1,0,0,0,0,0,5268.814,5268.814,5162.636,5157.429
"LBY","Libya","BWA","Botswana",0,0,0,0,0,0,0,0,6540.412,6540.412,6280.028,6270.17
"MDG","Madagascar","BWA","Botswana",0,0,0,0,0,0,0,0,2321.26,2321.26,2283.435,2262.072
"MWI","Malawi","BWA","Botswana",0,1,1,0,1,0,0,0,1457.969,1457.969,1339.756,1309.101
"MLI","Mali","BWA","Botswana",0,0,0,0,0,0,0,0,5558.012,5558.012,5454.843,5447.095
"MRT","Mauritania","BWA","Botswana",0,0,0,0,0,0,0,0,6588.769,6588.769,6425.435,6414.299
"MUS","Mauritius","BWA","Botswana",0,1,1,0,1,0,0,0,3281.017,3281.017,3259.25,3254.949
"MAR","Morocco","BWA","Botswana",0,0,0,0,0,0,0,0,7402.954,7402.954,7236.183,7231.668
"MOZ","Mozambique","BWA","Botswana",0,0,0,0,0,0,0,0,683.9498,683.9498,1079.562,944.2844
"NAM","Namibia","BWA","Botswana",1,1,1,0,0,0,0,0,930.864,930.864,1007.111,970.2173
"NER","Niger","BWA","Botswana",0,0,0,0,0,0,0,0,4985.353,4985.353,4775.846,4764.489
"NGA","Nigeria","BWA","Botswana",0,1,1,0,1,0,0,0,4240.09,4289.616,4159.786,4145.987
"RWA","Rwanda","BWA","Botswana",0,1,1,0,0,0,0,0,2578.33,2578.33,2417.505,2403.167
"STP","Sao Tome and Principe","BWA","Botswana",0,0,0,0,0,0,0,0,3462.698,3462.698,3381.81,3375.064
"SEN","Senegal","BWA","Botswana",0,0,0,0,0,0,0,0,6432.051,6432.051,6312.305,6307.938
"SYC","Seychelles","BWA","Botswana",0,1,1,0,1,0,0,0,3872.04,3872.04,3777.324,3771.317
"SLE","Sierra Leone","BWA","Botswana",0,1,1,0,1,0,0,0,5636.541,5636.541,5510.718,5506.279
"SOM","Somalia","BWA","Botswana",0,1,0,0,1,0,0,0,3645.368,3645.368,3638.875,3597.426
"ZAF","South Africa","BWA","Botswana",1,1,1,0,0,0,0,0,1250.909,256.2495,745.475,521.5082
"SDN","Sudan","BWA","Botswana",0,0,0,0,1,0,0,0,4542.512,4542.512,4304.603,4276.876
"SWZ","Swaziland","BWA","Botswana",0,1,0,0,1,0,0,1,552.6561,552.6561,655.0614,637.0763
"TZA","Tanzania","BWA","Botswana",0,1,0,0,1,0,0,0,2449.869,2318.318,2271.069,2237.372
